date,costs,cumulative_costs,trigger,num_trades,portfolio_value,costs_bps
2020-12-17,137.81,137.81,forced,88,100000.0,13.780999999999999
2021-01-01,27.69,165.5,scheduled,27,99967.48232,2.769900707448366
2021-02-01,49.25,214.75,scheduled,47,100306.25372,4.909963055491931
2021-03-01,71.11,285.86,scheduled,63,102361.95708,6.9469168066437685
2021-04-01,75.14,361.0,scheduled,64,107011.42088,7.021680432059693
2021-05-03,57.29,418.29,scheduled,51,109266.28168,5.243154532134711
2021-06-01,63.19,481.48,scheduled,55,110067.77838,5.741008034326057
2021-07-01,51.07,532.5500000000001,scheduled,47,109033.37278,4.683887024484284
2021-08-02,53.64,586.19,scheduled,51,109924.23888,4.879724485384583
2021-09-01,49.84,636.0300000000001,scheduled,47,111884.85928,4.45457949545003
2021-10-01,46.56,682.5900000000001,scheduled,44,108244.19548,4.301385380854235
2021-11-01,67.26,749.8500000000001,scheduled,62,112270.63768,5.990880731586133
2021-12-01,62.89,812.7400000000001,scheduled,59,110761.34508,5.677973660808851
2022-01-03,50.4,863.1400000000001,scheduled,47,117474.72618,4.290284526628722
2022-02-01,53.65,916.7900000000001,scheduled,49,115801.63668,4.632922429952655
2022-03-01,56.22,973.0100000000001,scheduled,53,114263.12478,4.920222522204333
2022-04-01,52.91,1025.92,scheduled,45,118564.87618,4.462535761406637
2022-05-02,65.45,1091.3700000000001,scheduled,55,114959.02508,5.693332903132515
2022-06-01,54.6,1145.97,scheduled,50,114909.20508,4.75157755742783
2022-07-01,71.78,1217.75,scheduled,67,109261.80138,6.569542062587583
2022-08-01,59.38,1277.13,scheduled,55,113017.10808,5.254071795746838
2022-09-01,50.58,1327.71,scheduled,48,109187.44818,4.632400595773315
2022-10-03,55.31,1383.02,scheduled,51,102626.24508000001,5.389459582866383
2022-11-01,57.52,1440.54,scheduled,53,108979.97748,5.278033757215271
2022-12-01,68.07,1508.61,scheduled,59,115133.17208,5.91228390308761
2023-01-02,56.7,1565.31,scheduled,54,112300.42848,5.048956692992308
2023-02-01,71.81,1637.12,scheduled,66,116775.15218,6.149424655795811
2023-03-01,57.15,1694.27,scheduled,49,112965.83568,5.059051673099613
2023-04-03,42.08,1736.35,scheduled,40,114567.53418,3.6729428019186505
2023-05-01,57.49,1793.84,scheduled,53,115575.86118,4.974222074838274
2023-06-01,57.16,1851.0,scheduled,52,111571.54668,5.123169992788703
2023-07-03,55.63,1906.63,scheduled,53,115657.63968000001,4.80988546488726
2023-08-01,45.76,1952.39,scheduled,42,117719.95138,3.887191547700077
2023-09-01,49.52,2001.91,scheduled,47,115917.33658,4.272009818464378
2023-10-02,45.42,2047.3300000000002,scheduled,43,110983.97868,4.092482585343191
2023-11-01,69.95,2117.28,scheduled,60,110942.23966,6.305082736239399
2023-12-01,65.02,2182.3,scheduled,59,116764.31324,5.568482201094818
2024-01-01,59.52,2241.82,scheduled,54,119808.41314,4.967931586778381
2024-02-01,56.53,2298.3500000000004,scheduled,53,119998.83704,4.710878988031899
2024-03-01,52.01,2350.3600000000006,scheduled,47,120872.32664,4.302887306447235
2024-04-01,57.09,2407.4500000000007,scheduled,51,124772.38184,4.575531793021994
2024-05-01,62.09,2469.540000000001,scheduled,58,121718.26434,5.101124333038613
2024-06-03,60.42,2529.960000000001,scheduled,56,125560.14234,4.812036596485432
2024-07-01,51.21,2581.170000000001,scheduled,47,124547.95574,4.111669251874628
2024-08-01,66.41,2647.580000000001,scheduled,59,128103.25364,5.184099397399193
2024-09-02,47.94,2695.520000000001,scheduled,44,130516.87534,3.67308824051411
2024-10-01,56.52,2752.040000000001,scheduled,53,131653.32994,4.293093082093598
2024-11-01,66.31,2818.350000000001,scheduled,61,129857.66674,5.106360037468204
2024-12-02,56.4,2874.750000000001,scheduled,52,134171.41694,4.203577877188364
2025-01-01,57.1,2931.850000000001,scheduled,50,129120.78534,4.4222159778260846
2025-02-03,65.47,2997.3200000000006,scheduled,57,130550.37234,5.014922502824629
2025-03-03,60.51,3057.830000000001,scheduled,55,131792.81734,4.591297251343819
2025-04-01,61.84,3119.670000000001,scheduled,54,130447.20734,4.740615093339568
2025-05-01,84.75,3204.420000000001,scheduled,69,128311.91734,6.604998331949951
2025-06-02,58.86,3263.280000000001,scheduled,48,131805.47734,4.465671775397251
2025-07-01,56.54,3319.820000000001,scheduled,51,134232.67734,4.212089121696423
2025-08-01,53.75,3373.570000000001,scheduled,48,134592.92234,3.9935235126420845
2025-09-01,54.79,3428.360000000001,scheduled,49,138407.96734,3.9585871429935846
2025-10-01,57.0,3485.360000000001,scheduled,53,139390.37734,4.089234930540866
